MemoryUsage,ProcessorLoad,InpNetThroughput,OutNetThroughput,OutBandwidth,Latency,V_MemoryUsage,V_ProcessorLoad,V_InpNetThroughput,V_OutNetThroughput,V_OutBandwidth,V_Latency,CLPVariation
0.16368059783599154,0.37149007728328953,0.6465593005691527,0.12374082002478448,0.1767945225212002,0.9169970380269039,0.7889448039051359,0.10955372816700015,0.869512991136687,0.44470085171517215,0.6072810745555535,0.16493680479885986,0.750045632526419
0.7477521984683221,0.30523812336464506,0.9732724675395112,0.49705903240260807,0.7965519798820084,0.02804122619282723,0.6289269437520147,0.11614838495784885,0.8103941424119981,0.6482324012702696,0.33181002439774754,0.5772488090240415,-0.03808525209734815
0.09239826054439249,0.7791894684457978,0.6616996043856613,0.4712348642160531,0.3648307694304245,0.7865018713736953,0.3145601742637075,0.7126927133999791,0.606968298671852,0.8053617101540034,0.5075275775039807,0.4481911127849493,-0.026523053949679062
0.5776497676730937,0.3496959181400916,0.6150162902941366,0.004737342877648598,0.7039817811687631,0.21534248461860017,0.8929655687058498,0.4668397081545993,0.39979120391067047,0.7186781971523681,0.07236089484264807,0.6572961784664921,0.2267230691064298
0.4173879285364115,0.8869797575721211,0.2329068298208642,0.4269335187063832,0.766484063660171,0.4587194475555979,0.46941347048211335,0.7763617487914433,0.8138910694776123,0.08151488622210101,0.11764313939189064,0.46988399409360915,-0.6894073132819379
0.09239276847124656,0.09697344084825188,0.1381942749995133,0.43211212543821387,0.6677070398815969,0.3061490740137637,0.48672135431174646,0.20468925633899393,0.5343588177231177,0.07942704107003173,0.04575365570516421,0.03802615761545025,0.7958229425543158
0.022597585218642635,0.2572192453928872,0.7284286518472618,0.8843163201230708,0.19649375115840384,0.07245337495457027,0.6845440397774639,0.5367384390887019,0.8959703580863392,0.4559919145744534,0.18450721250576418,0.8432153387737015,0.21041624456788113
0.24968783257518,0.696406377976135,0.1325613741803624,0.4490153328406319,0.8650288746541932,0.31394614883451877,0.39134272827235483,0.48753252944686964,0.03883629230264396,0.7555009974000307,0.13857441879133314,0.03712763161089616,-0.590146475758325
0.6398357011110908,0.5329256237373682,0.6832826797496211,0.9868938901139211,0.8189341222649175,0.5426469255198392,0.9169152125640541,0.7831467319360431,0.505629095308503,0.5736490694382103,0.5996115925162797,0.9118251076317436,0.40826151121701093
0.7666799787384986,0.19419739799494962,0.9315803020533211,0.4797651508016908,0.42303503928548025,0.005237411343273712,0.9226728470792342,0.8027868104943624,0.18622892327380514,0.6819203970288923,0.68564863395285,0.04520795021898105,-0.40533688141252233
0.43079758449849626,0.5881534341368976,0.1294196103072578,0.9636910763656331,0.24173480684164628,0.9840421180703466,0.9290687498268818,0.22735071462776713,0.5022814065497393,0.4385697810205966,0.8648594873186873,0.9245590891989774,0.3041899693468702
0.32942053149168893,0.6749772004366095,0.8004618977123741,0.5469437959529244,0.1593161728810053,0.05433209269590089,0.9798374743149375,0.6016795461340791,0.42991343484117417,0.9931357552711686,0.12464307690040632,0.5650216924978063,-0.6689774838974195
0.7499982351340477,0.032440426417628565,0.8744729099793067,0.5834825683451396,0.5098003029813863,0.9520574418327183,0.6143713410978435,0.005432325654293413,0.7569219888969141,0.44967788164002365,0.6172982517252905,0.7121988099043742,-0.3178123893764096
0.9037152904984672,0.7139932928219515,0.20986004497172228,0.6920844287617473,0.033245663597501696,0.13803795162274957,0.9223112596205262,0.4315471853865541,0.5186230890662146,0.9328056403737388,0.5584280021265914,0.9003466102811339,-0.6894073132819379
